#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
#EGY;;;;;;;;;;;;;;x
EVTDESC354030;The Tripartite Agreement was signed jointly by the United States, France, and the United Kingdom the conclusion of the first Arab-Israeli War. It was meant to ensure against infringement of the territorial boundaries established by the Arab-Israeli armistice and to prevent an arms race from developing between the Arab states and Israel. The signatories to the agreement aimed to ensure the free flow of oil from the region by promoting stability, and if possible, to encourage Israel and the Arab states to align with the West against Soviet influence. The United States in particular sought to maintain its neutrality in the Arab-Israeli feud.;;;;;;;;;;;;;x
EVTOPTA354030;We'll cross our fingers.;;;;;;;;;;;;;x
EVTNAME354031;UN resolution 95;;;;;;;;;;;;;x
EVTDESC354031;The Egyptian policy of preventing ships bound for Israel from navigating through the Suez Canal threatens the stability and peace in the Middle East. In conjunction with both sides’ statements that they will work for peace, UN Security Council Resolution 95 has been introduced for adoption. The Resolution calls on Egypt to immediately cease all interference with shipping except for that immediately necessary for safety. Let’s hope that this resolution will put the lid on escalating tensions between the Arab states and Israel.;;;;;;;;;;;;;x
EVTOPTA354031;Let's hope.;;;;;;;;;;;;;x
EVTNAME354032;Tripartite talks;;;;;;;;;;;;;x
EVTDESC354032;The signatories to the Tripartite Agreement have convened in London to discuss what actions should be taken regarding the Suez Crisis. The military option is on the table, but with it comes the grave risk of sparking WWIII. The talks are expected to produce a result very soon…;;;;;;;;;;;;;x
EVTOPTA354032;Wait and see…;;;;;;;;;;;;;x
EVTNAME354033;Tripartite Talks;;;;;;;;;;;;;x
EVTDESC354033;Our allies in the Tripartite Talks in London are committed to a military intervention to resolve the Suez Crisis. However, from the vantage point of the United States of America, the timing could not be worse. The USSR is on the march across the world and war in the Middle East would certainly be seized upon to justify further Communist expansion. Moreover, the worst case scenario is a Soviet intervention in a military stalemate in the Middle East that could force us to commit troops to bolster our allies in the region, possibly leading to a nuclear exchange.;;;;;;;;;;;;;x
EVTOPTA354033;We cannot agree to this!;;;;;;;;;;;;;x
EVTOPTB354033;Let there be war!;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#EGY;;;;;;;;;;;;;;x
EVTNAME180020;The Suez Question;;;;;;;;;;;;;x
EVTDESC180020;If we want to capitalize on the Egyptian public’s anger toward the British and seize the strategically vital Suez Canal, now is the time to do so. Control of the canal would give us huge leverage against Israel, the enemy of the Arab world, and by proxy against the West as a whole. The best way to put pressure on Britain is to repeal the Anglo-Egyptian Treaty of 1936, set to expire in 1956. Given the public’s current discontent, we will certainly incur no domestic political fallout from this decision. However, the international community will certainly react negatively to such an action on our part.;;;;;;;;;;;;;x
EVTOPTA180020;Repeal the Anglo-Egyptian Treaty.;;;;;;;;;;;;;x
EVTOPTB180020;Let the treaty run its course.;;;;;;;;;;;;;x
EVTNAME180021;Britain refuses to leave Suez!;;;;;;;;;;;;;x
EVTDESC180021;The British have decided not to accede to our demands for withdrawal from the Suez Canal and remain garrisoned there. However, the public’s anti-British rage demands some kind of action from us to eject the British from Egyptian territory. Our options are to declare war to enforce our rights, or concede that our gambit failed and try to mitigate the popular anger that will certainly be redirected toward our government.;;;;;;;;;;;;;x
EVTOPTA180021;This means war!;;;;;;;;;;;;;x
EVTOPTB180021;They called our bluff.;;;;;;;;;;;;;x
EVTNAME180022;Britain returns Suez;;;;;;;;;;;;;x
EVTDESC180022;Britain returns Suez;;;;;;;;;;;;;x
EVTOPTA180022;Very well;;;;;;;;;;;;;x
EVTNAME180023;Military Coup!;;;;;;;;;;;;;x
EVTDESC180023;In retrospect, it was only a matter of time before a spark set off the powder keg of popular anger that would topple the government. In this case, the British garrison of the Suez Canal pacified a troublesome Egyptian auxiliary police barracks and killed 41 Egyptians in the process, sparking riots in Cairo and burning of British property. Seizing the initiative, the ‘Free Officer’s Movement’ has overthrown Egypt’s unpopular government in a military coup. Egypt will now be ruled by an authoritarian regime as the crisis in the Middle East deepens.;;;;;;;;;;;;;x
EVTOPTA180023;Viva la revolucion!;;;;;;;;;;;;;x
EVTNAME180024;Suez Canal Company;;;;;;;;;;;;;x
EVTDESC180024;The British are offering a deal: we allow them to extend their lease of the Suez Canal in exchange for their removal of all British military personnel from our territory. Accepting this offer would largely placate the public’s anti-British mood and would improve diplomatic relations with Britain and France, both of whom are interested in ensuring free passage of their ships through the Canal. The British have made it clear, however, that declining would risk the use of force against us to maintain control over the canal.;;;;;;;;;;;;;x
EVTOPTA180024;Accept!;;;;;;;;;;;;;x
EVTOPTB180024;Decline!;;;;;;;;;;;;;x
EVTNAME180025;A Tight Spot;;;;;;;;;;;;;x
EVTDESC180025;Our decision to decline Britain’s offer to withdraw from our territory in exchange for a lease extension to the Suez Canal has forced us to follow through on our threats to seize the Canal or else cave to British demands at the last minute and suffer a huge blow to our national prestige. The latter option would risk more riots and possibly a coup against our regime, not to mention dash any hopes for nationalizing the canal in the near future. What shall it be?;;;;;;;;;;;;;x
EVTOPTA180025;Cave to the British.;;;;;;;;;;;;;x
EVTOPTB180025;Seize the Canal!;;;;;;;;;;;;;x
EVTNAME180026;The Sudanese Question;;;;;;;;;;;;;x
EVTDESC180026;Incredibly, the British have offered us full control of their colony of Sudan and are willing to allow us to annex the entire region! Such a diplomatic triumph by Egypt is unprecedented and surely heralds a glorious future where Egypt assumes its rightful place as leader of the Arab world! This is a great day for Egypt!;;;;;;;;;;;;;x
EVTOPTA180026;Sudan shall be a part of Egypt!;;;;;;;;;;;;;x
EVTOPTB180026;Decline the offer.;;;;;;;;;;;;;x
EVTNAME180027;The Sudanese Question;;;;;;;;;;;;;x
EVTDESC180027;Britain has approached us with an offer regarding Sudan: in exchange for the release of our claims to that region, the British promise to release Sudan as a fully independent state. Both we and the British government would then officially recognize Sudan diplomatically. The thrust of this offer appears to allow us to save face before the public by ‘kicking out’ the former British colonialists from our doorstep. All in all, it is a fair offer. If we accept, we will improve relations with Great Britain and gain a grateful new African neighbor to our south.;;;;;;;;;;;;;x
EVTOPTA180027;Accept Sudanese independence.;;;;;;;;;;;;;x
EVTOPTB180027;Decline the offer.;;;;;;;;;;;;;x
EVTNAME180028;Israeli Tensions;;;;;;;;;;;;;x
EVTDESC180028;Bad blood has existed between our nation and the Israelis ever since the conclusion of the Arab-Israeli War. As part of our attempts to gain regional supremacy in the Middle East, we have begun a policy of denouncing and intermittently raiding Israeli possessions. Although this foments resentment against us from the Israelis, we believe that we rise in prestige among other Arab states because of it.;;;;;;;;;;;;;x
EVTOPTA180028;OK.;;;;;;;;;;;;;x
EVTNAME180029;Draft Resolution 997;;;;;;;;;;;;;x
EVTDESC180029;Draft Resolution 997.;;;;;;;;;;;;;x
EVTOPTA180029;Good news.;;;;;;;;;;;;;x
#EVTOPTBXXXXXX;Event option B goes here.;;;;;;;;;;;;;x
#EVTOPTCXXXXXX;Event Option C goes here;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#ENG;;;;;;;;;;;;;;x
EVTNAME181050;Anglo-Egyptian Treaty Repealed!;;;;;;;;;;;;;x
EVTDESC181050;The Egyptian government has announced that it has ‘repealed’ the Anglo-Egyptian Treaty of 1936 that grants us a lease of the Suez Canal base until 1956. They are demanding full control of the Canal territory, including our handover of Canal operations. Our options are starkly simple: either we cave to the Egyptian demands and surrender control of the strategically vital Suez Canal, or stand fast and defy Egypt’s ultimatum. The latter risks war with Egypt and by proxy a second Arab-Israeli war, but the former will undo decades of hard work and our strategic decision to retain control of the Canal.;;;;;;;;;;;;;x
EVTOPTA181050;Accept the demands.;;;;;;;;;;;;;x
EVTOPTB181050;We had a contract!;;;;;;;;;;;;;x
EVTNAME181051;The Suez Canal Company;;;;;;;;;;;;;x
EVTDESC181051;The most powerful card we have to play in Egypt is the right to operate the Suez Canal. If we want to get on the Egyptians’ good side, we can offer to withdraw our troops from the country in exchange for an extension of our lease of the Canal. On the other hand, we could use those same troops to force the lease extension whether they agree or not. However, the latter course of action would prove to be highly controversial in the international community because of its potential to destabilize the Middle East.;;;;;;;;;;;;;x
EVTOPTA181051;Offer our military bases.;;;;;;;;;;;;;x
EVTOPTB181051;Rattle our sabre!;;;;;;;;;;;;;x
EVTNAME181052;The Sudanese Question;;;;;;;;;;;;;x
EVTDESC181052;To repair Anglo-Egyptian relations, we are prepared to offer to release our claims on Sudan in favor of Egypt. This can take a few forms: we can offer to cede Sudan in its entirety to Egypt, an offer that will likely prove too good for them to pass up and for which they will be extremely grateful. Or, we could offer to release Sudan as an independent state in exchange for Egypt’s release of its claims on that country and our mutual recognition of it. This offer would accomplish major Egyptian goals of ridding their region of British rule.;;;;;;;;;;;;;x
EVTOPTA181052;Sudan shall be a part of Egypt!;;;;;;;;;;;;;x
EVTOPTB181052;Sudan shall have its independence!;;;;;;;;;;;;;x
EVTOPTC181052;No dismantling of the Empire!;;;;;;;;;;;;;x
EVTNAME181053;Egypt seizes Suez Canal!;;;;;;;;;;;;;x
EVTDESC181053;Egyptian military forces have seized control of the Suez Canal in violation of our treaty agreement and international law. This action brings the crisis in the region to a head with regard to our ongoing efforts to maintain our influence in the Middle East. Our response to this provocation will likely mean the difference between war and peace in the region. We certainly have cause to declare war immediately, but it may be wise to wait and confer with our allies before acting unilaterally. Unfortunately, the only other option at this point is to abandon the Canal to Egypt. .;;;;;;;;;;;;;x
EVTOPTA181053;This means war!;;;;;;;;;;;;;x
EVTOPTB181053;Let's not act rashly...;;;;;;;;;;;;;x
EVTOPTC181053;Forget the Canal.;;;;;;;;;;;;;x
EVTNAME181054;Tripartite talks;;;;;;;;;;;;;x
EVTDESC181054;The signatories to the Tripartite Agreement have convened in London to discuss what actions should be taken regarding the Suez Crisis. The military option is on the table, but with it comes the grave risk of sparking WWIII. The talks are expected to produce a result very soon…;;;;;;;;;;;;;x
EVTOPTA181054;Wait and see...;;;;;;;;;;;;;x
EVTNAME181055;Second Tripartite talks;;;;;;;;;;;;;x
EVTDESC181055;The withdrawal of the United States from the Tripartite Talks threatened to derail a cohesive response to the Suez Crisis, but the addition of Israel in its place has put the talks back on track. Israel is a willing partner in the use of military force in response to Egypt’s provocations, and the talks are progressing well. We can continue discussions on how to proceed or immediately vote to declare war on Egypt to take back the Suez Canal.;;;;;;;;;;;;;x
EVTOPTA181055;Let the talks begin!;;;;;;;;;;;;;x
EVTOPTB181055;Begin tripartite voting;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#FRA;;;;;;;;;;;;;;x
EVTNAME194020;Egypt seizes Suez Canal!;;;;;;;;;;;;;x
EVTDESC194020;Egyptian military forces have seized control of the Suez Canal in violation of our treaty agreement and international law. This action brings the crisis in the region to a head with regard to our ongoing efforts to maintain our influence in the Middle East. Our response to this provocation will likely mean the difference between war and peace in the region. We certainly have cause to declare war immediately, but it may be wise to wait and confer with our allies before acting unilaterally. Unfortunately, the only other option at this point is to abandon the Canal to Egypt. .;;;;;;;;;;;;;x
EVTOPTA194020;This means war!;;;;;;;;;;;;;x
EVTOPTB194020;Let's not act rashly…;;;;;;;;;;;;;x
EVTOPTC194020;Forget the Canal.;;;;;;;;;;;;;x
EVTNAME194021;Tripartite talks;;;;;;;;;;;;;x
EVTDESC194021;The signatories to the Tripartite Agreement have convened in London to discuss what actions should be taken regarding the Suez Crisis. The military option is on the table, but with it comes the grave risk of sparking WWIII. The talks are expected to produce a result very soon…;;;;;;;;;;;;;x
EVTOPTA194021;Wait and see...;;;;;;;;;;;;;x
EVTNAME194022;Second Tripartite talks;;;;;;;;;;;;;x
EVTDESC194022;The withdrawal of the United States from the Tripartite Talks threatened to derail a cohesive response to the Suez Crisis, but the addition of Israel in its place has put the talks back on track. Israel is a willing partner in the use of military force in response to Egypt’s provocations, and the talks are progressing well. We can continue discussions on how to proceed or immediately vote to declare war on Egypt to take back the Suez Canal.;;;;;;;;;;;;;x
EVTOPTA194022;Let the talks begin!;;;;;;;;;;;;;x
EVTOPTB194022;Begin tripartite voting;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
#ISR;;;;;;;;;;;;;;x
EVTNAME222010;Join the Tripartite?;;;;;;;;;;;;;x
EVTDESC222010;The United States has pulled out of the London Tripartite Talks focusing on how to handle the Suez Crisis. Consequently, the remaining signers of the Tripartite Agreement have extended an invitation for us to join them. We are one of the most interested nations in the region, as well as one of the most militarily-capable, and we are therefore in the perfect position to conduct diplomacy regarding the Suez Crisis. Shall we accept the invitation and try to find a solution to the Egypt problem?;;;;;;;;;;;;;x
EVTOPTA222010;Of course!;;;;;;;;;;;;;x
EVTOPTB222010;The risk is too great.;;;;;;;;;;;;;x
EVTNAME222011;Second Tripartite talks;;;;;;;;;;;;;x
EVTDESC222011;The withdrawal of the United States from the Tripartite Talks threatened to derail a cohesive response to the Suez Crisis, but the addition of Israel in its place has put the talks back on track. Israel is a willing partner in the use of military force in response to Egypt’s provocations, and the talks are progressing well. We can continue discussions on how to proceed or immediately vote to declare war on Egypt to take back the Suez Canal.;;;;;;;;;;;;;x
EVTOPTA222011;Let the talks begin!;;;;;;;;;;;;;x
EVTOPTB222011;Begin tripartite voting;;;;;;;;;;;;;x
EVTNAME222012;Return Sinai;;;;;;;;;;;;;x
EVTDESC222012;Return Sinai.;;;;;;;;;;;;;x
EVTOPTA222012;Never!;;;;;;;;;;;;;x
EVTOPTB222012;Of course.;;;;;;;;;;;;;x
#EVTOPTCXXXXXX;Event Option C goes here;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
